State,County,FIPSCODE,percent
Oregon,Polk County,05000US41053,9.3
Oregon,Sherman County,05000US41055,11.1
Oregon,Tillamook County,05000US41057,11.4
Oregon,Umatilla County,05000US41059,9.9
Oregon,Union County,05000US41061,9.2
Oregon,Wallowa County,05000US41063,11.4
Oregon,Wasco County,05000US41065,11
Oregon,Washington County,05000US41067,8.4
Oregon,Wheeler County,05000US41069,12.6
Oregon,Yamhill County,05000US41071,9.6
Pennsylvania,Adams County,05000US42001,11.6
Pennsylvania,Allegheny County,05000US42003,9.7
Pennsylvania,Armstrong County,05000US42005,11.7
Pennsylvania,Beaver County,05000US42007,11.4
Pennsylvania,Bedford County,05000US42009,13.2
Pennsylvania,Berks County,05000US42011,11
Pennsylvania,Blair County,05000US42013,11.7
Pennsylvania,Bradford County,05000US42015,10.9
Pennsylvania,Bucks County,05000US42017,9.6
Pennsylvania,Butler County,05000US42019,10.9
Pennsylvania,Cambria County,05000US42021,13.1
Pennsylvania,Cameron County,05000US42023,10.4
Pennsylvania,Carbon County,05000US42025,10.7
Pennsylvania,Centre County,05000US42027,7.8
Pennsylvania,Chester County,05000US42029,7.9
Pennsylvania,Clarion County,05000US42031,11.7
Pennsylvania,Clearfield County,05000US42033,13.7
Pennsylvania,Clinton County,05000US42035,10.9
Pennsylvania,Columbia County,05000US42037,11.9
Pennsylvania,Crawford County,05000US42039,11.7
Pennsylvania,Cumberland County,05000US42041,9.4
Pennsylvania,Dauphin County,05000US42043,11.9
Pennsylvania,Delaware County,05000US42045,9
Pennsylvania,Elk County,05000US42047,10.5
Pennsylvania,Erie County,05000US42049,11.6
Pennsylvania,Fayette County,05000US42051,15.9
Pennsylvania,Forest County,05000US42053,11.3
Pennsylvania,Franklin County,05000US42055,11.4
Pennsylvania,Fulton County,05000US42057,11.9
Pennsylvania,Greene County,05000US42059,12.5
Pennsylvania,Huntingdon County,05000US42061,11.5
Pennsylvania,Indiana County,05000US42063,9.7
Pennsylvania,Jefferson County,05000US42065,11.5
Pennsylvania,Juniata County,05000US42067,12.3
Pennsylvania,Lackawanna County,05000US42069,11.5
Pennsylvania,Lancaster County,05000US42071,9.7
Pennsylvania,Lawrence County,05000US42073,12.5
Pennsylvania,Lebanon County,05000US42075,10.1
Pennsylvania,Lehigh County,05000US42077,10.8
Pennsylvania,Luzerne County,05000US42079,11.7
Pennsylvania,Lycoming County,05000US42081,10.7
Pennsylvania,McKean County,05000US42083,10.4
Pennsylvania,Mercer County,05000US42085,12.2
Pennsylvania,Mifflin County,05000US42087,12.5
Pennsylvania,Monroe County,05000US42089,11.2
Pennsylvania,Montgomery County,05000US42091,7.4
Pennsylvania,Montour County,05000US42093,12.4
Pennsylvania,Northampton County,05000US42095,11.2
Pennsylvania,Northumberland County,05000US42097,12.1
Pennsylvania,Perry County,05000US42099,10.3
Pennsylvania,Philadelphia County,05000US42101,11.5
Pennsylvania,Pike County,05000US42103,10.5
Pennsylvania,Potter County,05000US42105,12.1
Pennsylvania,Schuylkill County,05000US42107,11.4
Pennsylvania,Snyder County,05000US42109,9.9
Pennsylvania,Somerset County,05000US42111,12.5
Pennsylvania,Sullivan County,05000US42113,13.1
Pennsylvania,Susquehanna County,05000US42115,10.1
Pennsylvania,Tioga County,05000US42117,12
Pennsylvania,Union County,05000US42119,10.2
Pennsylvania,Venango County,05000US42121,13.2
Pennsylvania,Warren County,05000US42123,12.5
Pennsylvania,Washington County,05000US42125,11.8
Pennsylvania,Wayne County,05000US42127,12.6
Pennsylvania,Westmoreland County,05000US42129,11.8
Pennsylvania,Wyoming County,05000US42131,10.8
Pennsylvania,York County,05000US42133,11.3
Rhode Island,Bristol County,05000US44001,8.8
Rhode Island,Kent County,05000US44003,9.9
Rhode Island,Newport County,05000US44005,8.5
Rhode Island,Providence County,05000US44007,9.9
Rhode Island,Washington County,05000US44009,9.1
South Carolina,Abbeville County,05000US45001,17
South Carolina,Aiken County,05000US45003,12.8
South Carolina,Allendale County,05000US45005,19.2
South Carolina,Anderson County,05000US45007,13.2
South Carolina,Bamberg County,05000US45009,17
South Carolina,Barnwell County,05000US45011,17.3
South Carolina,Beaufort County,05000US45013,9.8
South Carolina,Berkeley County,05000US45015,13.5
South Carolina,Calhoun County,05000US45017,18.6
South Carolina,Charleston County,05000US45019,11.1
South Carolina,Cherokee County,05000US45021,14.4
South Carolina,Chester County,05000US45023,13.8
South Carolina,Chesterfield County,05000US45025,14.8
South Carolina,Clarendon County,05000US45027,17.2
South Carolina,Colleton County,05000US45029,16.5
South Carolina,Darlington County,05000US45031,14.6
South Carolina,Dillon County,05000US45033,16.5
South Carolina,Dorchester County,05000US45035,10.4
South Carolina,Edgefield County,05000US45037,14.1
South Carolina,Fairfield County,05000US45039,18.6
South Carolina,Florence County,05000US45041,14.1
South Carolina,Georgetown County,05000US45043,14.4
South Carolina,Greenville County,05000US45045,10.4
South Carolina,Greenwood County,05000US45047,13.2
South Carolina,Hampton County,05000US45049,15.1
South Carolina,Horry County,05000US45051,11.1
South Carolina,Jasper County,05000US45053,15
South Carolina,Kershaw County,05000US45055,12.6
South Carolina,Lancaster County,05000US45057,11.8
South Carolina,Laurens County,05000US45059,15
South Carolina,Lee County,05000US45061,16.9
South Carolina,Lexington County,05000US45063,9.9
South Carolina,McCormick County,05000US45065,17.6
South Carolina,Marion County,05000US45067,17.2
South Carolina,Marlboro County,05000US45069,15.2
South Carolina,Newberry County,05000US45071,15.7
South Carolina,Oconee County,05000US45073,12
South Carolina,Orangeburg County,05000US45075,15.1
South Carolina,Pickens County,05000US45077,11.9
South Carolina,Richland County,05000US45079,11.1
South Carolina,Saluda County,05000US45081,13
South Carolina,Spartanburg County,05000US45083,12.8
South Carolina,Sumter County,05000US45085,14.3
South Carolina,Union County,05000US45087,15.6
South Carolina,Williamsburg County,05000US45089,17.5
South Carolina,York County,05000US45091,12
South Dakota,Aurora County,05000US46003,8.7
South Dakota,Beadle County,05000US46005,9.4
South Dakota,Bennett County,05000US46007,14.6
South Dakota,Bon Homme County,05000US46009,9.4
South Dakota,Brookings County,05000US46011,6.1
South Dakota,Brown County,05000US46013,8.4
South Dakota,Brule County,05000US46015,10.1
South Dakota,Buffalo County,05000US46017,16.2
South Dakota,Butte County,05000US46019,8.4
South Dakota,Campbell County,05000US46021,9.9
South Dakota,Charles Mix County,05000US46023,11.7
South Dakota,Clark County,05000US46025,10.4
South Dakota,Clay County,05000US46027,7.7
South Dakota,Codington County,05000US46029,8.3
South Dakota,Corson County,05000US46031,13.3
South Dakota,Custer County,05000US46033,10.7
South Dakota,Davison County,05000US46035,9.4
South Dakota,Day County,05000US46037,11.2
South Dakota,Deuel County,05000US46039,10.8
South Dakota,Dewey County,05000US46041,15.6
South Dakota,Douglas County,05000US46043,11
South Dakota,Edmunds County,05000US46045,9
South Dakota,Fall River County,05000US46047,11.2
South Dakota,Faulk County,05000US46049,9.8
South Dakota,Grant County,05000US46051,8.3
South Dakota,Gregory County,05000US46053,10.4
South Dakota,Haakon County,05000US46055,10.3
South Dakota,Hamlin County,05000US46057,9.7
South Dakota,Hand County,05000US46059,10.5
South Dakota,Hanson County,05000US46061,8.3
South Dakota,Harding County,05000US46063,8.1
South Dakota,Hughes County,05000US46065,9.5
South Dakota,Hutchinson County,05000US46067,10.5
South Dakota,Hyde County,05000US46069,10.5
South Dakota,Jackson County,05000US46071,11.2
South Dakota,Jerauld County,05000US46073,9.9
South Dakota,Jones County,05000US46075,10.9
South Dakota,Kingsbury County,05000US46077,10
South Dakota,Lake County,05000US46079,8.6
South Dakota,Lawrence County,05000US46081,7.3
South Dakota,Lincoln County,05000US46083,6.6
South Dakota,Lyman County,05000US46085,10.4
South Dakota,McCook County,05000US46087,9
South Dakota,McPherson County,05000US46089,11.8
South Dakota,Marshall County,05000US46091,9.6
South Dakota,Meade County,05000US46093,8.4
South Dakota,Mellette County,05000US46095,13.2
South Dakota,Miner County,05000US46097,10.6
South Dakota,Minnehaha County,05000US46099,7.9
South Dakota,Moody County,05000US46101,11
South Dakota,Pennington County,05000US46103,8.4
South Dakota,Perkins County,05000US46105,10.1
South Dakota,Potter County,05000US46107,11
South Dakota,Roberts County,05000US46109,12
South Dakota,Sanborn County,05000US46111,10.2
South Dakota,Shannon County,05000US46113,15.8
South Dakota,Spink County,05000US46115,9.9
South Dakota,Stanley County,05000US46117,9.8
South Dakota,Sully County,05000US46119,9.3
South Dakota,Todd County,05000US46121,18.2
South Dakota,Tripp County,05000US46123,10.7
South Dakota,Turner County,05000US46125,8.4
South Dakota,Union County,05000US46127,9.2
South Dakota,Walworth County,05000US46129,10.7
South Dakota,Yankton County,05000US46135,7.9
South Dakota,Ziebach County,05000US46137,16.5
Tennessee,Anderson County,05000US47001,12.3
Tennessee,Bedford County,05000US47003,11.5
Tennessee,Benton County,05000US47005,14.3
Tennessee,Bledsoe County,05000US47007,12.5
Tennessee,Blount County,05000US47009,13.7
Tennessee,Bradley County,05000US47011,14.3
Tennessee,Campbell County,05000US47013,13.4
Tennessee,Cannon County,05000US47015,12.9
Tennessee,Carroll County,05000US47017,14.6
Tennessee,Carter County,05000US47019,14.2
Tennessee,Cheatham County,05000US47021,12.3
Tennessee,Chester County,05000US47023,14.7
Tennessee,Claiborne County,05000US47025,14.8
Tennessee,Clay County,05000US47027,13.9
Tennessee,Cocke County,05000US47029,15.8
Tennessee,Coffee County,05000US47031,13.1
Tennessee,Crockett County,05000US47033,13.8
Tennessee,Cumberland County,05000US47035,18.2
Tennessee,Davidson County,05000US47037,10.6
Tennessee,Decatur County,05000US47039,15
Tennessee,DeKalb County,05000US47041,14.4
Tennessee,Dickson County,05000US47043,12.6
Tennessee,Dyer County,05000US47045,15.8
Tennessee,Fayette County,05000US47047,17.6
Tennessee,Fentress County,05000US47049,14.6
Tennessee,Franklin County,05000US47051,13.1
Tennessee,Gibson County,05000US47053,13.1
Tennessee,Giles County,05000US47055,14.4
Tennessee,Grainger County,05000US47057,14.4
Tennessee,Greene County,05000US47059,12.3
Tennessee,Grundy County,05000US47061,15.2
Tennessee,Hamblen County,05000US47063,13.9
Tennessee,Hamilton County,05000US47065,12.2
Tennessee,Hancock County,05000US47067,13
Tennessee,Hardeman County,05000US47069,14.7
Tennessee,Hardin County,05000US47071,13.8
Tennessee,Hawkins County,05000US47073,14.4
Tennessee,Haywood County,05000US47075,15.3
Tennessee,Henderson County,05000US47077,15.9
Tennessee,Henry County,05000US47079,14
Tennessee,Hickman County,05000US47081,12.2
Tennessee,Houston County,05000US47083,15.2
Tennessee,Humphreys County,05000US47085,14.1
Tennessee,Jackson County,05000US47087,13.8
Tennessee,Jefferson County,05000US47089,12.3
Tennessee,Johnson County,05000US47091,14.1
Tennessee,Knox County,05000US47093,11.2
Tennessee,Lake County,05000US47095,13.5
Tennessee,Lauderdale County,05000US47097,15.4
Tennessee,Lawrence County,05000US47099,14.2
Tennessee,Lewis County,05000US47101,14.5
Tennessee,Lincoln County,05000US47103,14.2
Tennessee,Loudon County,05000US47105,13.3
Tennessee,McMinn County,05000US47107,14.1
Tennessee,McNairy County,05000US47109,16.9
Tennessee,Macon County,05000US47111,14.2
Tennessee,Madison County,05000US47113,14.2
Tennessee,Marion County,05000US47115,15.9
Tennessee,Marshall County,05000US47117,14.4
Tennessee,Maury County,05000US47119,11.9
Tennessee,Meigs County,05000US47121,14.2
Tennessee,Monroe County,05000US47123,14.7
Tennessee,Montgomery County,05000US47125,9.8
Tennessee,Moore County,05000US47127,14
Tennessee,Morgan County,05000US47129,12.3
Tennessee,Obion County,05000US47131,15.5
Tennessee,Overton County,05000US47133,15.1
Tennessee,Perry County,05000US47135,16.3
Tennessee,Pickett County,05000US47137,15
Tennessee,Polk County,05000US47139,13.7
Tennessee,Putnam County,05000US47141,12.5
Tennessee,Rhea County,05000US47143,13.7
Tennessee,Roane County,05000US47145,13.4
Tennessee,Robertson County,05000US47147,12.8
Tennessee,Rutherford County,05000US47149,9.9
Tennessee,Scott County,05000US47151,13.4
Tennessee,Sequatchie County,05000US47153,13.5
Tennessee,Sevier County,05000US47155,12.2
Tennessee,Shelby County,05000US47157,12.2
Tennessee,Smith County,05000US47159,13.6
Tennessee,Stewart County,05000US47161,15.2
Tennessee,Sullivan County,05000US47163,14.4
Tennessee,Sumner County,05000US47165,11.8
Tennessee,Tipton County,05000US47167,13.5
Tennessee,Trousdale County,05000US47169,13.2
Tennessee,Unicoi County,05000US47171,14.7
Tennessee,Union County,05000US47173,13.8
Tennessee,Van Buren County,05000US47175,14.6
Tennessee,Warren County,05000US47177,16.3
Tennessee,Washington County,05000US47179,12.9
Tennessee,Wayne County,05000US47181,12.3
Tennessee,Weakley County,05000US47183,14.7
Tennessee,White County,05000US47185,13.6
Tennessee,Williamson County,05000US47187,9.2
Tennessee,Wilson County,05000US47189,12.7
Texas,Anderson County,05000US48001,11.7
Texas,Andrews County,05000US48003,8.8
Texas,Angelina County,05000US48005,12.9
Texas,Aransas County,05000US48007,12.1
Texas,Archer County,05000US48009,10.6
Texas,Armstrong County,05000US48011,10.6
Texas,Atascosa County,05000US48013,10.8
Texas,Austin County,05000US48015,9.7
Texas,Bailey County,05000US48017,9.5
Texas,Bandera County,05000US48019,11.3
Texas,Bastrop County,05000US48021,9.7
Texas,Baylor County,05000US48023,12.2
Texas,Bee County,05000US48025,8.7
Texas,Bell County,05000US48027,9.2
Texas,Bexar County,05000US48029,8.9
Texas,Blanco County,05000US48031,11.2
Texas,Borden County,05000US48033,11.3
Texas,Bosque County,05000US48035,10.2
Texas,Bowie County,05000US48037,12.7
Texas,Brazoria County,05000US48039,9.1
Texas,Brazos County,05000US48041,7.6
Texas,Brewster County,05000US48043,9.7
Texas,Briscoe County,05000US48045,11.2
Texas,Brooks County,05000US48047,10.8
Texas,Brown County,05000US48049,9.5
Texas,Burleson County,05000US48051,12.2
Texas,Burnet County,05000US48053,10
Texas,Caldwell County,05000US48055,9.8
Texas,Calhoun County,05000US48057,11.6
Texas,Callahan County,05000US48059,11
Texas,Cameron County,05000US48061,9.3
Texas,Camp County,05000US48063,11.2
Texas,Carson County,05000US48065,11
Texas,Cass County,05000US48067,13.7
Texas,Castro County,05000US48069,9.3
Texas,Chambers County,05000US48071,9.6
Texas,Cherokee County,05000US48073,11.6
Texas,Childress County,05000US48075,9
Texas,Clay County,05000US48077,11.2
Texas,Cochran County,05000US48079,10.9
Texas,Coke County,05000US48081,12.6
Texas,Coleman County,05000US48083,11.6
Texas,Collin County,05000US48085,7.9
Texas,Collingsworth County,05000US48087,10.7
Texas,Colorado County,05000US48089,11.3
Texas,Comal County,05000US48091,8.8
Texas,Comanche County,05000US48093,10.8
Texas,Concho County,05000US48095,8.7
Texas,Cooke County,05000US48097,10.3
Texas,Coryell County,05000US48099,9.1
Texas,Cottle County,05000US48101,12.3
Texas,Crane County,05000US48103,8.8
Texas,Crockett County,05000US48105,9.9
Texas,Crosby County,05000US48107,9.8
Texas,Culberson County,05000US48109,10
Texas,Dallam County,05000US48111,8
Texas,Dallas County,05000US48113,9.1
Texas,Dawson County,05000US48115,9.1
Texas,Deaf Smith County,05000US48117,8.7
Texas,Delta County,05000US48119,11.9
Texas,Denton County,05000US48121,8
Texas,DeWitt County,05000US48123,11.6
Texas,Dickens County,05000US48125,9.9
Texas,Dimmit County,05000US48127,9.3
Texas,Donley County,05000US48129,11.1
Texas,Duval County,05000US48131,9.9
Texas,Eastland County,05000US48133,12.2
Texas,Ector County,05000US48135,8.9
Texas,Edwards County,05000US48137,11.8
Texas,Ellis County,05000US48139,9.9
Texas,El Paso County,05000US48141,9.5
Texas,Erath County,05000US48143,8.9
Texas,Falls County,05000US48145,11.5
Texas,Fannin County,05000US48147,10.4
Texas,Fayette County,05000US48149,11.6
Texas,Fisher County,05000US48151,11.7
Texas,Floyd County,05000US48153,11.4
Texas,Foard County,05000US48155,11.7
Texas,Fort Bend County,05000US48157,8.4
Texas,Franklin County,05000US48159,11.3
Texas,Freestone County,05000US48161,11
Texas,Frio County,05000US48163,8.6
Texas,Gaines County,05000US48165,8.9
Texas,Galveston County,05000US48167,9.8
Texas,Garza County,05000US48169,8.3
Texas,Gillespie County,05000US48171,13.3
Texas,Glasscock County,05000US48173,9.6
Texas,Goliad County,05000US48175,11.9
Texas,Gonzales County,05000US48177,12
Texas,Gray County,05000US48179,10.9
Texas,Grayson County,05000US48181,9.3
Texas,Gregg County,05000US48183,11
Texas,Grimes County,05000US48185,11.9
Texas,Guadalupe County,05000US48187,10
Texas,Hale County,05000US48189,10.3
Texas,Hall County,05000US48191,12.4
Texas,Hamilton County,05000US48193,11.8
Texas,Hansford County,05000US48195,9.7
Texas,Hardeman County,05000US48197,10.9
Texas,Hardin County,05000US48199,9.9
Texas,Harris County,05000US48201,8.5
Texas,Harrison County,05000US48203,11.9
Texas,Hartley County,05000US48205,9.6
Texas,Haskell County,05000US48207,10.5
Texas,Hays County,05000US48209,8.7
Texas,Hemphill County,05000US48211,9.4
Texas,Henderson County,05000US48213,10.9
Texas,Hidalgo County,05000US48215,9.7
Texas,Hill County,05000US48217,10.1
Texas,Hockley County,05000US48219,8.7
Texas,Hood County,05000US48221,11.7
Texas,Hopkins County,05000US48223,10.5
Texas,Houston County,05000US48225,11.3
Texas,Howard County,05000US48227,9.7
Texas,Hudspeth County,05000US48229,10
Texas,Hunt County,05000US48231,10.3
Texas,Hutchinson County,05000US48233,10.5
Texas,Irion County,05000US48235,10.6
Texas,Jack County,05000US48237,9.7
Texas,Jackson County,05000US48239,10.9
Texas,Jasper County,05000US48241,13.2
Texas,Jeff Davis County,05000US48243,12.4
Texas,Jefferson County,05000US48245,10.8
Texas,Jim Hogg County,05000US48247,9.9
Texas,Jim Wells County,05000US48249,9.2
Texas,Johnson County,05000US48251,9.4
Texas,Jones County,05000US48253,9
Texas,Karnes County,05000US48255,9.5
Texas,Kaufman County,05000US48257,9.2
Texas,Kendall County,05000US48259,8.9
Texas,Kenedy County,05000US48261,9.2
Texas,Kent County,05000US48263,12
Texas,Kerr County,05000US48265,13.4
Texas,Kimble County,05000US48267,11.6
Texas,King County,05000US48269,10.5
Texas,Kinney County,05000US48271,10.8
Texas,Kleberg County,05000US48273,9.2
Texas,Knox County,05000US48275,11.2
Texas,Lamar County,05000US48277,11.6
Texas,Lamb County,05000US48279,10.2
Texas,Lampasas County,05000US48281,10.2
Texas,La Salle County,05000US48283,8.2
Texas,Lavaca County,05000US48285,11.7
Texas,Lee County,05000US48287,10.8
Texas,Leon County,05000US48289,13.8
Texas,Liberty County,05000US48291,11
Texas,Limestone County,05000US48293,11.8
Texas,Lipscomb County,05000US48295,9.5
Texas,Live Oak County,05000US48297,10.8
Texas,Llano County,05000US48299,13.3
Texas,Loving County,05000US48301,10.5
Texas,Lubbock County,05000US48303,8.6
Texas,Lynn County,05000US48305,10.4
Texas,McCulloch County,05000US48307,11
Texas,McLennan County,05000US48309,9
Texas,McMullen County,05000US48311,11.8
Texas,Madison County,05000US48313,9.1
Texas,Marion County,05000US48315,12.5
Texas,Martin County,05000US48317,8.8
Texas,Mason County,05000US48319,12.5
Texas,Matagorda County,05000US48321,11.2
Texas,Maverick County,05000US48323,8.7
Texas,Medina County,05000US48325,11.2
Texas,Menard County,05000US48327,12.9
Texas,Midland County,05000US48329,8.6
Texas,Milam County,05000US48331,11.9
Texas,Mills County,05000US48333,11.7
Texas,Mitchell County,05000US48335,8.9
Texas,Montague County,05000US48337,10.7
Texas,Montgomery County,05000US48339,10.1
Texas,Moore County,05000US48341,9
Texas,Morris County,05000US48343,11.1
Texas,Motley County,05000US48345,13
Texas,Nacogdoches County,05000US48347,11.3
Texas,Navarro County,05000US48349,10.1
Texas,Newton County,05000US48351,11.7
Texas,Nolan County,05000US48353,10.4
Texas,Nueces County,05000US48355,9.9
Texas,Ochiltree County,05000US48357,8.2
Texas,Oldham County,05000US48359,9.3
Texas,Orange County,05000US48361,8.9
Texas,Palo Pinto County,05000US48363,12
Texas,Panola County,05000US48365,10.9
Texas,Parker County,05000US48367,10.5
Texas,Parmer County,05000US48369,9.4
Texas,Pecos County,05000US48371,9.8
Texas,Polk County,05000US48373,10.8
Texas,Potter County,05000US48375,8.9
Texas,Presidio County,05000US48377,10.3
Texas,Rains County,05000US48379,11.8
Texas,Randall County,05000US48381,8.2
Texas,Reagan County,05000US48383,8.9
Texas,Real County,05000US48385,12.1
Texas,Red River County,05000US48387,11.9
Texas,Reeves County,05000US48389,8.1
Texas,Refugio County,05000US48391,10.9
Texas,Roberts County,05000US48393,10.3
Texas,Robertson County,05000US48395,10.9
Texas,Rockwall County,05000US48397,8.9
Texas,Runnels County,05000US48399,11.5
Texas,Rusk County,05000US48401,10.8
Texas,Sabine County,05000US48403,13.2
Texas,San Augustine County,05000US48405,13.7
Texas,San Jacinto County,05000US48407,12.6
Texas,San Patricio County,05000US48409,10.5
Texas,San Saba County,05000US48411,11.4
Texas,Schleicher County,05000US48413,9.8
Texas,Scurry County,05000US48415,9.1
Texas,Shackelford County,05000US48417,10.4
Texas,Shelby County,05000US48419,11.7
Texas,Sherman County,05000US48421,10
Texas,Smith County,05000US48423,10.2
Texas,Somervell County,05000US48425,10.7
Texas,Starr County,05000US48427,8.4
Texas,Stephens County,05000US48429,10
Texas,Sterling County,05000US48431,10.1
Texas,Stonewall County,05000US48433,12
Texas,Sutton County,05000US48435,9.8
Texas,Swisher County,05000US48437,9.9
Texas,Tarrant County,05000US48439,11
Texas,Taylor County,05000US48441,9.2
Texas,Terrell County,05000US48443,10.6
Texas,Terry County,05000US48445,9.8
Texas,Throckmorton County,05000US48447,11.3
Texas,Titus County,05000US48449,9.5
Texas,Tom Green County,05000US48451,10.1
Texas,Travis County,05000US48453,6.4
Texas,Trinity County,05000US48455,11.5
Texas,Tyler County,05000US48457,12.3
Texas,Upshur County,05000US48459,10.7
Texas,Upton County,05000US48461,9.6
Texas,Uvalde County,05000US48463,10.5
Texas,Val Verde County,05000US48465,8.7
Texas,Van Zandt County,05000US48467,10.8
Texas,Victoria County,05000US48469,10.3
Texas,Walker County,05000US48471,9
Texas,Waller County,05000US48473,12
Texas,Ward County,05000US48475,9.7
Texas,Washington County,05000US48477,11.8
Texas,Webb County,05000US48479,8.6
Texas,Wharton County,05000US48481,10.2
Texas,Wheeler County,05000US48483,10.8
Texas,Wichita County,05000US48485,12.3
Texas,Wilbarger County,05000US48487,11
Texas,Willacy County,05000US48489,8.3
Texas,Williamson County,05000US48491,7.4
Texas,Wilson County,05000US48493,9.7
Texas,Winkler County,05000US48495,8.7
Texas,Wise County,05000US48497,10.4
Texas,Wood County,05000US48499,11.7
Texas,Yoakum County,05000US48501,8.6
Texas,Young County,05000US48503,10.9
Texas,Zapata County,05000US48505,8.3
Texas,Zavala County,05000US48507,8.7
Utah,Beaver County,05000US49001,7.9
Utah,Box Elder County,05000US49003,9.9
Utah,Cache County,05000US49005,5.6
Utah,Carbon County,05000US49007,9.6
Utah,Daggett County,05000US49009,10.1
Utah,Davis County,05000US49011,7.4
Utah,Duchesne County,05000US49013,8
Utah,Emery County,05000US49015,8.7
Utah,Garfield County,05000US49017,9.7
Utah,Grand County,05000US49019,7.8
Utah,Iron County,05000US49021,6.8
Utah,Juab County,05000US49023,10.2
Utah,Kane County,05000US49025,9.8
Utah,Millard County,05000US49027,9.3
Utah,Morgan County,05000US49029,8.3
Utah,Piute County,05000US49031,10.1
Utah,Rich County,05000US49033,8.7
Utah,Salt Lake County,05000US49035,7.2
Utah,San Juan County,05000US49037,10.6
Utah,Sanpete County,05000US49039,7.9
Utah,Sevier County,05000US49041,9.5
Utah,Summit County,05000US49043,4.2
Utah,Tooele County,05000US49045,9.2
Utah,Uintah County,05000US49047,8
Utah,Utah County,05000US49049,5.5
Utah,Wasatch County,05000US49051,6.5
Utah,Washington County,05000US49053,7.8
Utah,Wayne County,05000US49055,8.5
Utah,Weber County,05000US49057,8.3
Vermont,Addison County,05000US50001,6.7
Vermont,Bennington County,05000US50003,8.8
Vermont,Caledonia County,05000US50005,8.2
Vermont,Chittenden County,05000US50007,6.5
Vermont,Essex County,05000US50009,10.2
Vermont,Franklin County,05000US50011,8.1
Vermont,Grand Isle County,05000US50013,7.4
Vermont,Lamoille County,05000US50015,7
Vermont,Orange County,05000US50017,7.7
Vermont,Orleans County,05000US50019,9.3
Vermont,Rutland County,05000US50021,9.4
Vermont,Washington County,05000US50023,8.3
Vermont,Windham County,05000US50025,7.5
Vermont,Windsor County,05000US50027,8.1
Virginia,Accomack County,05000US51001,13.6
Virginia,Albemarle County,05000US51003,7.6
Virginia,Alleghany County,05000US51005,11
Virginia,Amelia County,05000US51007,11.8
Virginia,Amherst County,05000US51009,12.7
Virginia,Appomattox County,05000US51011,11.6
Virginia,Arlington County,05000US51013,4.2
Virginia,Augusta County,05000US51015,11.6
Virginia,Bath County,05000US51017,10.9
Virginia,Bedford County,05000US51019,11.1
Virginia,Bland County,05000US51021,10
Virginia,Botetourt County,05000US51023,11.1
Virginia,Brunswick County,05000US51025,12
Virginia,Buchanan County,05000US51027,14.6
Virginia,Buckingham County,05000US51029,14.3
Virginia,Campbell County,05000US51031,11
Virginia,Caroline County,05000US51033,10.5
Virginia,Carroll County,05000US51035,12.3
Virginia,Charles City County,05000US51036,14.2
Virginia,Charlotte County,05000US51037,12
Virginia,Chesterfield County,05000US51041,9.1
Virginia,Clarke County,05000US51043,10.7
Virginia,Craig County,05000US51045,10.7
Virginia,Culpeper County,05000US51047,10.6
Virginia,Cumberland County,05000US51049,13.8
Virginia,Dickenson County,05000US51051,10.4
Virginia,Dinwiddie County,05000US51053,11.4
Virginia,Essex County,05000US51057,14.1
Virginia,Fairfax County,05000US51059,6.2
Virginia,Fauquier County,05000US51061,10.3
Virginia,Floyd County,05000US51063,9.5
Virginia,Fluvanna County,05000US51065,11.1
Virginia,Franklin County,05000US51067,11.1
Virginia,Frederick County,05000US51069,9.3
Virginia,Giles County,05000US51071,10.6
Virginia,Gloucester County,05000US51073,11.1
Virginia,Goochland County,05000US51075,11.5
Virginia,Grayson County,05000US51077,11
Virginia,Greene County,05000US51079,9.9
Virginia,Greensville County,05000US51081,14.1
Virginia,Halifax County,05000US51083,15.9
Virginia,Hanover County,05000US51085,9.4
Virginia,Henrico County,05000US51087,9.7
Virginia,Henry County,05000US51089,15.1
Virginia,Highland County,05000US51091,12.4
Virginia,Isle of Wight County,05000US51093,12.6
Virginia,James City County,05000US51095,10.5
Virginia,King and Queen County,05000US51097,12.2
Virginia,King George County,05000US51099,9.3
Virginia,King William County,05000US51101,10.3
Virginia,Lancaster County,05000US51103,13.8
Virginia,Lee County,05000US51105,12.1
Virginia,Loudoun County,05000US51107,6.9
Virginia,Louisa County,05000US51109,10.9
Virginia,Lunenburg County,05000US51111,13.2
Virginia,Madison County,05000US51113,11.4
Virginia,Mathews County,05000US51115,11.9
Virginia,Mecklenburg County,05000US51117,13.7
Virginia,Middlesex County,05000US51119,12.4
Virginia,Montgomery County,05000US51121,6.8
Virginia,Nelson County,05000US51125,12.9
Virginia,New Kent County,05000US51127,9.9
Virginia,Northampton County,05000US51131,14.6
Virginia,Northumberland County,05000US51133,14.8
Virginia,Nottoway County,05000US51135,14
Virginia,Orange County,05000US51137,10.1
Virginia,Page County,05000US51139,10.9
Virginia,Patrick County,05000US51141,12.5
Virginia,Pittsylvania County,05000US51143,14.3
Virginia,Powhatan County,05000US51145,10.7
Virginia,Prince Edward County,05000US51147,11.4
Virginia,Prince George County,05000US51149,12.3
Virginia,Prince William County,05000US51153,7.9
Virginia,Pulaski County,05000US51155,13.7
Virginia,Rappahannock County,05000US51157,11.7
Virginia,Richmond County,05000US51159,11.6
Virginia,Roanoke County,05000US51161,11.5
Virginia,Rockbridge County,05000US51163,11.4
